INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-08-02T00:00:00-00:00,2022-08-02T01:00:00-00:00,2022-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,116.7476,1
2022-08-02T06:00:00-00:00,2022-08-02T07:00:00-00:00,2022-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,24.69984,2
2022-08-01T09:00:00-00:00,2022-08-01T10:00:00-00:00,2022-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.46225,2
2022-08-01T10:00:00-00:00,2022-08-01T11:00:00-00:00,2022-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.5898,2
2022-08-01T17:00:00-00:00,2022-08-01T18:00:00-00:00,2022-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,15.53704,2
2022-08-02T01:00:00-00:00,2022-08-02T02:00:00-00:00,2022-08-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-5.77668,2
2022-08-01T18:00:00-00:00,2022-08-01T19:00:00-00:00,2022-08-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,13.96035,2
2022-08-02T03:00:00-00:00,2022-08-02T04:00:00-00:00,2022-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2022-08-01T21:00:00-00:00,2022-08-01T22:00:00-00:00,2022-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,7.00121,2
2022-08-02T02:00:00-00:00,2022-08-02T03:00:00-00:00,2022-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.50611,2
2022-08-02T04:00:00-00:00,2022-08-02T05:00:00-00:00,2022-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2022-08-01T12:00:00-00:00,2022-08-01T13:00:00-00:00,2022-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.5741,2
2022-08-01T16:00:00-00:00,2022-08-01T17:00:00-00:00,2022-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,13.95745,2
2022-08-01T08:00:00-00:00,2022-08-01T09:00:00-00:00,2022-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.28208,2
2022-08-01T13:00:00-00:00,2022-08-01T14:00:00-00:00,2022-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.00081,2
2022-08-01T11:00:00-00:00,2022-08-01T12:00:00-00:00,2022-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.59665,2
2022-08-01T14:00:00-00:00,2022-08-01T15:00:00-00:00,2022-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,11.08365,2
2022-08-01T19:00:00-00:00,2022-08-01T20:00:00-00:00,2022-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,10.59772,2
2022-08-02T00:00:00-00:00,2022-08-02T01:00:00-00:00,2022-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.48341,2
2022-08-02T05:00:00-00:00,2022-08-02T06:00:00-00:00,2022-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,15.76504,2
2022-08-01T07:00:00-00:00,2022-08-01T08:00:00-00:00,2022-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.17128,2
2022-08-01T20:00:00-00:00,2022-08-01T21:00:00-00:00,2022-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,32.17962,2
2022-08-01T22:00:00-00:00,2022-08-01T23:00:00-00:00,2022-08-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.55976,2
2022-08-01T15:00:00-00:00,2022-08-01T16:00:00-00:00,2022-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,13.80989,2
2022-08-01T23:00:00-00:00,2022-08-02T00:00:00-00:00,2022-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,50.02892,2
2022-08-01T23:00:00-00:00,2022-08-02T00:00:00-00:00,2022-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,100.06515,3
2022-08-01T20:00:00-00:00,2022-08-01T21:00:00-00:00,2022-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,90.11692,3
2022-08-01T15:00:00-00:00,2022-08-01T16:00:00-00:00,2022-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,74.94681,3
